_id,wallet_from,wallet_to,amount,TX_ID
68bb54f9b478526eebba63d1,NOTWLT9ee92eac-15be-4bbd-b16d-9c432feca6e4,NOTWLT272028ac-f71d-41ef-abfb-fd4137e30290,7,ffdd71fb-c7b1-4f89-b5c9-e3e709f5ecfdNT9c78e226-8b08-478d-8916-ccf0f6e15ab0
68bb5522fa1fb9b409f814b6,NOTWLT9ee92eac-15be-4bbd-b16d-9c432feca6e4,NOTWLT272028ac-f71d-41ef-abfb-fd4137e30290,7,5c4ee177-ff1b-4655-99fe-44af2a63bc85NTed4a35f7-be8d-48a8-a133-16ec481b44bd
68bb5573cbf5d91b6dd33aed,NOTWLT9ee92eac-15be-4bbd-b16d-9c432feca6e4,NOTWLT272028ac-f71d-41ef-abfb-fd4137e30290,7,db8ed34a-3143-46b8-be4e-dba1cbc6321aNT2183efe1-daea-48a9-b4ce-3e3744d7933a
68bb55f849daaf10474a3302,NOTWLT9ee92eac-15be-4bbd-b16d-9c432feca6e4,NOTWLT272028ac-f71d-41ef-abfb-fd4137e30290,7,a828a825-4e0a-4b98-8072-2a4dbc9ec342NTdde1c259-f316-4e2c-a330-80704cea8956
68bcab0aba79f38c32c0b7ad,NOTWLT9ee92eac-15be-4bbd-b16d-9c432feca6e4,NOTWLT3a10f641-04f1-444b-841d-bc29c5268377,10,0a5b4898-1db3-43ed-8a92-851d455ddc76NT993edbc4-1ca9-486e-bdc3-de73b08b12ee
68c08564f50a4778ce63998b,NOTWLT3a10f641-04f1-444b-841d-bc29c5268377,NOTWLT272028ac-f71d-41ef-abfb-fd4137e30290,7,d1414050-bec4-41cd-b3cd-9e1eb2a86a51NT82f9ca70-9056-44d7-9058-1fa5bfc4b115
68c0861b7fa3ac7232ec2dd9,NOTWLT272028ac-f71d-41ef-abfb-fd4137e30290,NOTWLT9ee92eac-15be-4bbd-b16d-9c432feca6e4,100,61202ea0-fbdb-41ca-a5d3-5a47ed4053c8NT9a341598-6d59-4b1d-9d6f-31baa4b6a9df
